code,name,description,material,size,fragm,cultlayer,execorg,survyear,image_file,match_rule,has_image,group_key,material_raw,type,type_is_missing,part,part_is_missing,integrity,integrity_is_missing,material_is_missing,label_is_uncertain,pool_candidate_labels_hidden
М102-2012-2-1359,Блюдце,Сосуда (блюдца?) фаянсового с прозрачной поливой внутри и снаружи края фр-т,__HIDDEN__,D12 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1359_orig.jpg,startswith,1,М102-2012-2-1359,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,1,1
М102-2012-2-1360,Тарелка,Тарелки фаянсовой с прозрачной поливой внутри и снаружи края волнистого фр-т,__HIDDEN__,D? см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1360_orig.jpg,startswith,1,М102-2012-2-1360,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
М102-2012-2-1361,Блюдце,Блюдца фарфорового с белой поливой внутри и снаружи профиль,__HIDDEN__,"D14,5 см",Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,data/raw/images/М102-2012-2-1361_orig.jpg,startswith,1,М102-2012-2-1361,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Мич11-ш01-005,Плитка,Плитки керамической с белой поливой и кобальтовой росписью фр-т,__HIDDEN__,,Фрагмент,Техноген,ИИМК РАН,2011.0,data/raw/images/Мич11-ш01-005_orig.jpg,startswith,1,Мич11-ш01-005,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Мич11-ш02-053,Изразец,Изразца красноглиняного с белой поливой и рельефным кобальтовым орнаментом фр-т,__HIDDEN__,,Фрагмент,Техноген,ИИМК РАН,2011.0,data/raw/images/Мич11-ш02-053_orig.jpg,startswith,1,Мич11-ш02-053,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Мич11-ш04-155,Изразец,Изразца красноглиняного с рельефным орнаментом фр-т,__HIDDEN__,,Фрагмент,Техноген,ИИМК РАН,2011.0,data/raw/images/Мич11-ш04-155_orig.jpg,startswith,1,Мич11-ш04-155,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1247,Тарелка,Тарелки фаянсовой край,__HIDDEN__,Д23 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1247_orig.jpg,startswith,1,БП11-Р01-Г01-1247,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-тех-0468,Крышка,Крышки красноглиняной края фр-т,__HIDDEN__,Д30 см,Фрагмент,Горизонт техноген,,,data/raw/images/БП11-Р01-тех-0468_orig.jpg,startswith,1,БП11-Р01-тех-0468,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1137,Крышка,Сосуда красноглиняного с коричневой поливой снаружи крышки фр-т,__HIDDEN__,Д20 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1137_orig.jpg,startswith,1,БП11-Р01-Г01-1137,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1065,Тарелка,Тарелки фаянсовой донца фр-т,__HIDDEN__,Д17 см,Фрагмент,Горизонт 1,,,data/raw/images/БП11-Р01-Г01-1065_orig.jpg,startswith,1,БП11-Р01-Г01-1065,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1251,Тарелка,Тарелки фаянсовой с голубой поливой и полихромной росписью донца фр-т,__HIDDEN__,Д8 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1251_orig.jpg,startswith,1,БП11-Р01-Г01-1251,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г03-3339,Изразец,Изразца красноглиняного с белой поливой и кобальтовой росписью фр-т,__HIDDEN__,,Фрагмент,Горизонт 3/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г03-3339_orig.jpg,startswith,1,БП11-Р01-Г03-3339,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-0944,Тарелка,Тарелки фаянсовой с кобальтовой росписью края фр-т,__HIDDEN__,Д24 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-0944_orig.jpg,startswith,1,БП11-Р01-Г01-0944,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1315,Тарелка,Тарелки фаянсовой профиль,__HIDDEN__,Д24-15 см,Фрагмент,Горизонт 2/ голубая мешанная глина,,,data/raw/images/БП11-Р01-Г01-1315_orig.jpg,startswith,1,БП11-Р01-Г01-1315,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1397,Тарелка,Тарелки фаянсовой края фр-т,__HIDDEN__,Д33 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1397_orig.jpg,startswith,1,БП11-Р01-Г01-1397,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-тех-0421,Тарелка,Тарелки красноглиняной с росписью профиль,__HIDDEN__,Д25 см,Фрагмент,Горизонт техноген,,,data/raw/images/БП11-Р01-тех-0421_orig.jpg,startswith,1,БП11-Р01-тех-0421,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1405,Тарелка,Тарелки фаянсовой с зеленой росписью края фр-т,__HIDDEN__,Д16 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1405_orig.jpg,startswith,1,БП11-Р01-Г01-1405,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1192,Изразец,Изразца углового красноглиняного с белой поливой фр-т,__HIDDEN__,,Фрагмент,Горизонт 1/ серо-желтая мешаная супесь,,,data/raw/images/БП11-Р01-Г01-1192_orig.jpg,startswith,1,БП11-Р01-Г01-1192,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1197,Крышка,Крышка белого металла на бутылку с изображением герба фрагментированная,__HIDDEN__,"Д3, толщина 0,1 см",Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП11-Р01-Г01-1197_orig.jpg,startswith,1,БП11-Р01-Г01-1197,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1396,Тарелка,Тарелки фаянсовой края фр-т,__HIDDEN__,Д25 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1396_orig.jpg,startswith,1,БП11-Р01-Г01-1396,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г01-1248,Тарелка,Тарелки фаянсовой с клеймом донце,__HIDDEN__,Д11 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,data/raw/images/БП11-Р01-Г01-1248_orig.jpg,startswith,1,БП11-Р01-Г01-1248,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-Г03-6484,Блюдце,Блюдца фарфорового с клеймом профиль,__HIDDEN__,Д10-14 см,Фрагмент,Горизонт 3/ щепа + гумус,,,data/raw/images/БП11-Р01-Г03-6484_orig.jpg,startswith,1,БП11-Р01-Г03-6484,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП11-Р01-тех-0394,Тарелка,Тарелки фаянсовой края фр-т,__HIDDEN__,Д30 см,Фрагмент,Горизонт техноген,,,data/raw/images/БП11-Р01-тех-0394_orig.jpg,startswith,1,БП11-Р01-тех-0394,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-159,Блюдце,"Блюдца фарфорового с декольным орнаментом внутри и клеймом на донце, профиля фр-т",__HIDDEN__,"Двен=15; Ддон=8,5 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-159_orig.jpg,startswith,1,Кроп-2013-159,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-163,Крышка,Сосуда  прозрачного зеленого стекла крышка,__HIDDEN__,"Д=7,4 см",Целый,,,2013.0,data/raw/images/Кроп-2013-163_orig.jpg,startswith,1,Кроп-2013-163,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-204,Миска,Миски белоглиняной с желто-зеленой поливой внутри и снаружи орнаментированного венчика фр-т,__HIDDEN__,Д=20 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-204_orig.jpg,startswith,1,Кроп-2013-204,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-243,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи с рельефным орнаментом по краю профиля фр-т,__HIDDEN__,"Двен=26; Ддон=14; выс=4,5 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-243_orig.jpg,startswith,1,Кроп-2013-243,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-248,Блюдце,Блюдца фаянсового с белой поливой снаружи и внутри с синим подглазурным растительным орнаментом внутри донца клейменого фр-т,__HIDDEN__,Д=7 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-248_orig.jpg,startswith,1,Кроп-2013-248,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-252,Блюдце,"Блюдца фаянсового с белой поливой снаружи и внутри, с фиолетовым подглазурным декольным орнаментом и клеймом на донце профиля фр-т",__HIDDEN__,"Двен=14; Ддон=7; выс=2,5 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-252_orig.jpg,startswith,1,Кроп-2013-252,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-285,Тарелка,"Тарелка фаянсовая с белой поливой внутри и снаружи ,с клеймами на донце, фрагментированная",__HIDDEN__,"Двен=15; Ддон=7; выс=1,5 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-285_orig.jpg,startswith,1,Кроп-2013-285,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-317,Тарелка,"Тарелка фаянсовая с белой поливой внутри и снаружи с линейным орнаментом (зеленый, золотистый) вдоль венчика внутри и клеймом на донце, фрагментированная",__HIDDEN__,"Двен=14,5; Ддон=12,5; выс=4,5 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-317_orig.jpg,startswith,1,Кроп-2013-317,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-373,Крышка,Сосуда красноглиняного со светло-коричневой снаружи и белой поливой внутри крышки фр-т,__HIDDEN__,Д=17 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-373_orig.jpg,startswith,1,Кроп-2013-373,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-391,Тарелка,"Тарелки фарфоровой с линейным красно-желтым  орнаментом по краю, профиля фр-т",__HIDDEN__,Двен=24; Ддон=15; Выс=3 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-391_orig.jpg,startswith,1,Кроп-2013-391,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-392,Крышка,Сосуда фарфорового с зеленым растительным подглазурным орнаментом и золотой полосой крышки фр-т,__HIDDEN__,Д=10 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-392_orig.jpg,startswith,1,Кроп-2013-392,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-398,Тарелка,Тарелки фаянсовой с белой поливой внутри и снаружи профиля фр-т,__HIDDEN__,"Двен=24; Ддон=11; Выс=4,5 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-398_orig.jpg,startswith,1,Кроп-2013-398,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-400,Тарелка,Тарелки фарфоровой с линейным золотым орнаментом по краю снаружи донца клейменого фр-т,__HIDDEN__,"Д=9,5 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-400_orig.jpg,startswith,1,Кроп-2013-400,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-414,Тарелка,Сосуда (тарелки ?) фаянсового с темно-синей поливой внутри и снаружи донца фр-т,__HIDDEN__,Ддон=12 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-414_orig.jpg,startswith,1,Кроп-2013-414,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,1,1
Кроп-2013-415,Тарелка,Тарелки фаянсовой с темно-синей поливой внутри и снаружи венчика фр-т,__HIDDEN__,Д=19 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-415_orig.jpg,startswith,1,Кроп-2013-415,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-422,Тарелка,Тарелки фаянсовой с белой поливой снаружи и с растительным полихромным декольным подглазурным орнаментом внутри донца клейменого фр-т,__HIDDEN__,Д=не определим,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-422_orig.jpg,startswith,1,Кроп-2013-422,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-430,Тарелка,Тарелочки миниатюрной белоглиняной с серо-коричневой поливой снаружи и внутри профиля фр-т,__HIDDEN__,"Двен=9; Ддон=4; выс=1,5 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-430_orig.jpg,startswith,1,Кроп-2013-430,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-481,Блюдце,Блюдца фарфорового с золотым линейным орнаментом и клейменым донцем профиля фр-т,__HIDDEN__,Двен=15; Ддон=8; выс=3 см,Фрагмент,,,2013.0,data/raw/images/Кроп-2013-481_orig.jpg,startswith,1,Кроп-2013-481,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-484,Блюдце,Блюдца фарфорового с клейменым донцем профиля фр-т,__HIDDEN__,"Двен=15; Ддон=7,5; выс=3 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-484_orig.jpg,startswith,1,Кроп-2013-484,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Кроп-2013-Тр2-049,Блюдце,Блюдца фарфорового с белой поливой снаружи и внутри с коричневой каймой и полихромным растительным орнаментом профиль,__HIDDEN__,"Двенч=14; Ддон=8; выс=2,5 см",Фрагмент,,,2013.0,data/raw/images/Кроп-2013-Тр2-049_orig.jpg,startswith,1,Кроп-2013-Тр2-049,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г0-005,Плитка,"Плитка бетонно-композитная напольная, орнаментированная",__HIDDEN__,"21,7 х 21,7 х 2,5 см",Целый,Гориз.0,,2011.0,data/raw/images/Нев11-Г0-005_orig.jpg,startswith,1,Нев11-Г0-005,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г0-006,Плитка,"Плитка бетонно-композитная напольная, орнаментированная",__HIDDEN__,"21,7 х 21,7 х 2,6 см",Целый,Гориз.0,,2011.0,data/raw/images/Нев11-Г0-006_orig.jpg,startswith,1,Нев11-Г0-006,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г02-012,Изразец,Изразца красноглиняного с белой поливой и кобальтовой росписью фр-т,__HIDDEN__,,Фрагмент,Гориз.2,,2011.0,data/raw/images/Нев11-Г02-012_orig.jpg,startswith,1,Нев11-Г02-012,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г02-021,Изразец,Изразца плоского красноглиняного с белой поливой  и отверстием для крепления фр-т,__HIDDEN__,"17+ х 7,4 + х 5,8 см",Фрагмент,Гориз.2,,2011.0,data/raw/images/Нев11-Г02-021_orig.jpg,startswith,1,Нев11-Г02-021,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г02-022,Изразец,Изразца плоского  красноглиняного с белой поливой фр-т,__HIDDEN__,,Фрагмент,Гориз.2,,2011.0,data/raw/images/Нев11-Г02-022_orig.jpg,startswith,1,Нев11-Г02-022,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г03-038,Изразец,Изразца плоского красноглиняного с белой поливой фр-т,__HIDDEN__,,Фрагмент,Гориз.3,,2011.0,data/raw/images/Нев11-Г03-038_orig.jpg,startswith,1,Нев11-Г03-038,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г03-096,Изразец,Изразца плоского с белой поливой фр-т,__HIDDEN__,"7,3+ х 10,5 х 3+ см",Фрагмент,Гориз.3,,2011.0,data/raw/images/Нев11-Г03-096_orig.jpg,startswith,1,Нев11-Г03-096,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г04-182,Тарелка,Тарелки красноглиняной с прозрачной поливой и следами росписи венчика фр-т,__HIDDEN__,Д20 см,Фрагмент,Гориз.4,,2011.0,data/raw/images/Нев11-Г04-182_orig.jpg,startswith,1,Нев11-Г04-182,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г04-187,Тарелка,Тарелки красноглиняной с прозрачной поливой и следами росписи профиля фр-т,__HIDDEN__,Д21 см,Фрагмент,Гориз.4,,2011.0,data/raw/images/Нев11-Г04-187_orig.jpg,startswith,1,Нев11-Г04-187,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г04-197,Тарелка,Тарелки красноглиняной с серебристой поливой венчика фр-т,__HIDDEN__,,Фрагмент,Гориз.4,,2011.0,data/raw/images/Нев11-Г04-197_orig.jpg,startswith,1,Нев11-Г04-197,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
Нев11-Г05-055,Крышка,Крышки с ручкой красноглиняной фр-т,__HIDDEN__,,Фрагмент,Гориз.5,,2011.0,data/raw/images/Нев11-Г05-055_orig.jpg,startswith,1,Нев11-Г05-055,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП12-Г01-0726,Тарелка,Тарелки фаянсовой донца с клеймом фр-т,__HIDDEN__,Д15 см,Фрагмент,Горизонт 1/ темная гумусированная супесь с включением щепы и кирпичной крошки,,,data/raw/images/БП12-Г01-0726_orig.jpg,startswith,1,БП12-Г01-0726,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП12-Г01-0783,Крышка,Сосуда фаянсового крышки с полихромной росписью фр-т,__HIDDEN__,"6,7х3,8х2 см",Фрагмент,Горизонт 1/ Темная гумусированная супесь с включением щепы и кирпичной крошки,,,data/raw/images/БП12-Г01-0783_orig.jpg,startswith,1,БП12-Г01-0783,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП12-Г01-0956,Миска,Миски красноглиняной профиль,__HIDDEN__,"Д15-13; высота 2,3 см",Фрагмент,Горизонт 1/ темный гумусированный суглинок с кирпичной крошкой,,,data/raw/images/БП12-Г01-0956_orig.jpg,startswith,1,БП12-Г01-0956,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП12-Г01-1007,Изразец,Изразца красноглиняного орнаментированного с белой поливой фр-т,__HIDDEN__,,Фрагмент,Горизонт 1/ темная гумусированная супесь,,,data/raw/images/БП12-Г01-1007_orig.jpg,startswith,1,БП12-Г01-1007,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП12-Г01-1008,Изразец,Изразца красноглиняного плоского с белой поливой и кобальтовой росписью фр-т,__HIDDEN__,,Фрагмент,Горизонт 1/ темная гумусированная супесь,,,data/raw/images/БП12-Г01-1008_orig.jpg,startswith,1,БП12-Г01-1008,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП12-Г01-1016,Тарелка,Тарелки фаянсовой с полихромной росписью края фр-т,__HIDDEN__,Д26 см,Фрагмент,Горизонт 1/ темная гумусированная супесь,,,data/raw/images/БП12-Г01-1016_orig.jpg,startswith,1,БП12-Г01-1016,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
БП12-Г01-1974,Тарелка,Тарелки фаянсовой с клеймом донца фр-т,__HIDDEN__,,Фрагмент,Горизонт 1/ Темный гумусированый суглинок с включением кирпичной крошки,,,data/raw/images/БП12-Г01-1974_orig.jpg,startswith,1,БП12-Г01-1974,__HIDDEN__,__HIDDEN__,1,__HIDDEN__,1,__HIDDEN__,1,1,0,1
