pool,image_file,group_key,code,name,description,raw_label,norm_label,pred_label,confidence,uncertainty_score,noise_score,embedding_outlier,disagreement,combined_score,quality_flag,flag_uncertain,flag_incomplete,flag_conflict,flag_rare,noise_reasons,layout_mode,bg_type,foreground_ratio,has_scale_bar,has_overlay_text,reason_flag
test_gold,data/raw/images/Нейш3А-2018-5229_orig.jpg,Нейш3А-2018-5229,Нейш3А-2018-5229,Тарелка,"Тарелочки фаянсовой с цветочным орнаментом (розовый, зеленый) внутри клейменой профиль",Фаянс,фаянс,фарфор,0.5728,0.4272,0.0,0.3984,1,0.7506,clean,0,0,0,0,,multi_view,white_uniform,0.4604,0,0,genuinely_hard
val_gold,data/raw/images/БП12-Г02-8137_orig.jpg,БП12-Г02-8137,БП12-Г02-8137,Тарелка,Тарелки белоглиняной с белой поливой внутри и снаружи с кобальтовой росписью донца с рельефными стенками фр-т,Белоглиняная керамика,керамика,фаянс,0.6343,0.3657,0.0,0.5204,1,0.7504,clean,0,0,0,0,,single_object,white_uniform,0.3699,0,1,visual_nuisance
val_gold,data/raw/images/Нейш3А-2018-0733_orig.jpg,Нейш3А-2018-0733,Нейш3А-2018-0733,Блюдце,"Блюдца фарфорового с линейным орнаментом (красный, золотистый) внутри клейменого профиль",Фарфор,фарфор,фаянс,0.5532,0.4468,0.0,0.3509,1,0.7489,clean,0,0,0,0,,single_object,light_photo,0.3916,0,0,genuinely_hard
test_gold,data/raw/images/КБ-2014-Р3-0391_orig.jpg,КБ-2014-Р3-0391,КБ-2014-Р3-0391,Крышка,Крышка от кувшина фаянсовая с бежевой поливой снаружи и внутри с фр-том металлического крепления клейменая,Фаянс,фаянс,фарфор,0.8103,0.1897,0.1,0.7107,1,0.748,incomplete,0,1,0,0,incomplete_1,single_object,white_uniform,0.2819,0,0,genuinely_hard
test_gold,data/raw/images/Нц-106-03_orig.jpg,Нц-106-03,Нц-106-03,Тарелка,Тарелки фаянсовой профиль,Фаянс,фаянс,керамика,0.5846,0.4154,0.0,0.4075,1,0.7476,clean,0,0,0,0,,single_object,white_uniform,0.2366,0,0,genuinely_hard
val_gold,data/raw/images/Нейш3А-2018-0685_orig.jpg,Нейш3А-2018-0685,Нейш3А-2018-0685,Тарелка,Тарелки фаянсовой с бордовым растительно-геометрическим орнаментом внутри венчика фр-т,Фаянс,фаянс,фарфор,0.6717,0.3283,0.0,0.5172,1,0.7348,clean,0,0,0,0,,single_object,white_uniform,0.3302,0,0,genuinely_hard
val_gold,data/raw/images/Т-12-Р2-1779_orig.jpg,Т-12-Р2-1779,Т-12-Р2-1779,Тарелка,Тарелки красноглиняной с мраморовидной поливой внутри профиля фр-т,Керамика,керамика,фаянс,0.7101,0.2899,0.0,0.5806,1,0.7321,clean,0,0,0,0,,single_object,white_uniform,0.2359,0,0,genuinely_hard
test_gold,data/raw/images/КБ-2014-Р5-0422_orig.jpg,КБ-2014-Р5-0422,КБ-2014-Р5-0422,Тарелка,"Тарелка фаянсовая с белой поливой снаружи и внутри с синим, черным и розовым линейным орнаментом и клеймом на донце, фр-ая",Фаянс,фаянс,фарфор,0.7554,0.2446,0.0,0.6507,1,0.728,clean,0,0,0,0,,multi_view,white_uniform,0.5126,0,0,genuinely_hard
val_gold,data/raw/images/Нц-33-1878_orig.jpg,Нц-33-1878,Нц-33-1878,Тарелка,Тарелки фаянсовой с зеленой поливой снаружи и желтой внутри  венчика фр-т,Фаянс,фаянс,керамика,0.6865,0.3135,0.0,0.4898,1,0.7234,clean,0,0,0,0,,multi_view,light_photo,0.549,0,1,visual_nuisance
test_gold,data/raw/images/Нейш3А-2018-0738_orig.jpg,Нейш3А-2018-0738,Нейш3А-2018-0738,Блюдце,"Тарелки фаянсовой с зеленой росписью внутри (птица, цветы, геометрический орнамент) клейменой профиль",Фаянс,фаянс,фарфор,0.7413,0.2587,0.0,0.5728,1,0.718,clean,0,0,0,0,,multi_view,light_photo,0.5945,0,1,visual_nuisance
val_gold,data/raw/images/Нц-46-235_orig.jpg,Нц-46-235,Нц-46-235,Тарелка,Тарелки фарфоровой орнаментированного края фр-т,Фарфор,фарфор,фаянс,0.7929,0.2071,0.1,0.5249,1,0.7178,incomplete,0,1,0,0,incomplete_1,single_object,white_uniform,0.2253,0,0,genuinely_hard
test_gold,data/raw/images/ВО-1л58-2017-0235_orig.jpg,ВО-1л58-2017-0235,ВО-1л58-2017-0235,Тарелка,Тарелочки фарфоровой с белой поливой внутри и снаружи профиля фр-т,Фарфор,фарфор,фаянс,0.6957,0.3043,0.0,0.4704,1,0.7158,clean,0,0,0,0,,single_object,white_uniform,0.2206,0,0,genuinely_hard
val_gold,data/raw/images/Нц-45-1265_orig.jpg,Нц-45-1265,Нц-45-1265,Тарелка,Тарелки фарфоровой с клеймом донца фр-т,Фарфор,фарфор,фаянс,0.7717,0.2283,0.0,0.5627,1,0.7039,clean,0,0,0,0,,single_object,white_uniform,0.2238,0,1,visual_nuisance
test_gold,data/raw/images/БП12-Г01-5772_orig.jpg,БП12-Г01-5772,БП12-Г01-5772,Крышка,Сосуда серолощеного крышки края фр-т,Серолощеная керамика,керамика,фаянс,0.8251,0.1749,0.1,0.5165,1,0.7033,incomplete,0,1,0,0,incomplete_1,single_object,light_photo,0.3913,0,0,genuinely_hard
val_gold,data/raw/images/Нц-33-3019_orig.jpg,Нц-33-3019,Нц-33-3019,Тарелка,Тарелки фаянсовой с орнаментом по краю венчика фр-т,Фаянс,фаянс,керамика,0.6965,0.3035,0.0,0.4038,1,0.7022,clean,0,0,0,0,,single_object,white_uniform,0.2916,0,0,genuinely_hard
test_gold,data/raw/images/Нейш3А-2018-2925_orig.jpg,Нейш3А-2018-2925,Нейш3А-2018-2925,Блюдце,Блюдца фарфорового донца клейменого фр-т,Фарфор,фарфор,фаянс,0.743,0.257,0.0,0.4865,1,0.7001,clean,0,0,0,0,,single_object,white_uniform,0.1848,0,0,genuinely_hard
